official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
26,C1_multinomial_ridge,direct_classifier,256,0.06932597063359451,1.5850764206181231,0.07086070545897763,0.6932597063359451,0.04255266309167423,0.41143072571842665,1.6209576773347627
26,C2_ordinal_cdf_logistic,direct_classifier,256,0.06944326612052679,1.5932545666283322,0.07126654941209046,0.6944326612052678,0.06897505291351598,0.45488207929199326,1.6227057535596643
26,E1_normal_emos,emos,256,0.07009842940229251,1.6630821502114022,0.07280398899384227,0.7009842940229251,0.14043670411442957,0.5070330204693915,1.307473084796899
26,Q2_threshold_cdf_gb,threshold_cdf,256,0.07043812072647604,1.64026447364357,0.07116270892611613,0.7043812072647604,0.05236579560814078,0.26722057562364954,1.7578190640739044
26,G1_gamlss_tree_location_scale,gamlss_tree,256,0.07102919335440037,1.731067888828055,0.07424858827771312,0.7102919335440039,0.17381417130906732,0.21304560822408827,1.2486365217753357
26,Q1_quantile_cdf_gb,quantile_cdf,256,0.07111836536399795,1.6611487284304243,0.07259873870904138,0.7111836536399794,0.06890629803812771,0.19331097049923956,1.7752777582088302
26,E3_two_piece_normal_emos,emos,256,0.0733364944971216,1.931700683878101,0.07764814456503656,0.7333649449712158,0.218131932672985,0.6078601135834956,1.112894155817652
26,B6_month_climatology_diagnostic,diagnostic,256,0.11621641699538668,2.2038425368072323,0.09308221984323782,1.1621641699538667,0.3441263763291895,0.8117030505415743,1.4624569656759403
26,B0_climatology,baseline,256,0.11954171868114066,2.5213445539062773,0.08644208412630722,1.1954171868114063,0.19414047661768982,0.221173244642245,2.009855139922017
27,B5_kernel_analog_pmf,analog_pmf,280,0.06650107397601625,1.6517832468329678,0.06930237088214576,0.6650107397601626,0.03648496516296414,0.0683752067909007,1.6022752571370376
27,H1_b4_challenger_linear_pool,hybrid_pool,280,0.06656332270348796,1.5873189701678836,0.0691411423155489,0.6656332270348796,0.04375268659717263,0.06500584347613836,1.6061766561027615
27,T1_time_decay_b4,time_decay_residual_pmf,280,0.0666690068457524,1.5895108189794,0.06931418349590301,0.6666900684575239,0.06832382306192011,0.4239500593601755,1.6170341514361763
27,S1_conservative_simplex_stack,stack,280,0.0667477995937112,1.5954688476970342,0.06941062533476627,0.6674779959371119,0.040822950529697644,0.05593857862496354,1.630719724522664
27,B4_hierarchical_residual_pmf,residual_pmf,280,0.06683615466757344,1.601927553914996,0.0695445557520424,0.6683615466757346,0.04502412659653186,0.07157275410870162,1.6130012493731662
