bucket,one_vs_rest_brier,validation_split,method
25,0.03830957044714057,fold3,B4_hierarchical_residual_pmf
26,0.0453801116556803,fold3,B4_hierarchical_residual_pmf
27,0.04808256785401715,fold3,B4_hierarchical_residual_pmf
28,0.048378614762219004,fold3,B4_hierarchical_residual_pmf
29,0.04525583581063871,fold3,B4_hierarchical_residual_pmf
30,0.056458904659626295,fold3,B4_hierarchical_residual_pmf
31,0.06616910642699553,fold3,B4_hierarchical_residual_pmf
32,0.0623091803475458,fold3,B4_hierarchical_residual_pmf
33,0.04445921966379259,fold3,B4_hierarchical_residual_pmf
34_or_higher,0.019893131403958146,fold3,B4_hierarchical_residual_pmf
24_or_below,0.03676749425328762,fold3,B5_kernel_analog_pmf
25,0.03874497615312129,fold3,B5_kernel_analog_pmf
26,0.04467777865254384,fold3,B5_kernel_analog_pmf
27,0.04738994842551346,fold3,B5_kernel_analog_pmf
28,0.04860018509337916,fold3,B5_kernel_analog_pmf
29,0.04539652697077816,fold3,B5_kernel_analog_pmf
30,0.05643929092439123,fold3,B5_kernel_analog_pmf
31,0.06596073870815992,fold3,B5_kernel_analog_pmf
32,0.06196230311887108,fold3,B5_kernel_analog_pmf
33,0.043572705733521545,fold3,B5_kernel_analog_pmf
34_or_higher,0.019823413745834184,fold3,B5_kernel_analog_pmf
24_or_below,0.08799462898259201,fold3,B6_month_climatology_diagnostic
25,0.04547690379042665,fold3,B6_month_climatology_diagnostic
26,0.052180149743430985,fold3,B6_month_climatology_diagnostic
27,0.056916688421743765,fold3,B6_month_climatology_diagnostic
28,0.05997079173235724,fold3,B6_month_climatology_diagnostic
29,0.052198287503505796,fold3,B6_month_climatology_diagnostic
30,0.06600705402432132,fold3,B6_month_climatology_diagnostic
31,0.07379365978200024,fold3,B6_month_climatology_diagnostic
32,0.07351694194186305,fold3,B6_month_climatology_diagnostic
33,0.05302353576900333,fold3,B6_month_climatology_diagnostic
34_or_higher,0.028044033129599123,fold3,B6_month_climatology_diagnostic
24_or_below,0.03637860142800795,fold3,P1_normal_mos
25,0.037962804053809585,fold3,P1_normal_mos
26,0.04427167810383122,fold3,P1_normal_mos
27,0.04820579314113107,fold3,P1_normal_mos
28,0.049051424566331187,fold3,P1_normal_mos
29,0.04553403091556892,fold3,P1_normal_mos
30,0.05779035635057036,fold3,P1_normal_mos
31,0.06570475656950468,fold3,P1_normal_mos
32,0.06345064926021095,fold3,P1_normal_mos
33,0.04401738954946837,fold3,P1_normal_mos
34_or_higher,0.02045612211289201,fold3,P1_normal_mos
24_or_below,0.03639428847117201,fold3,P2_student_t_mos
25,0.038001487581992933,fold3,P2_student_t_mos
26,0.044375088214859526,fold3,P2_student_t_mos
27,0.048282480700771305,fold3,P2_student_t_mos
28,0.04918773161607772,fold3,P2_student_t_mos
29,0.0454472589700339,fold3,P2_student_t_mos
30,0.057772704395893715,fold3,P2_student_t_mos
31,0.06578916058906248,fold3,P2_student_t_mos
32,0.06372859907526991,fold3,P2_student_t_mos
33,0.044169820755848715,fold3,P2_student_t_mos
34_or_higher,0.020635958418794783,fold3,P2_student_t_mos
24_or_below,0.03663386976768844,fold3,C1_multinomial_ridge
25,0.03834704627798415,fold3,C1_multinomial_ridge
26,0.04444906363455787,fold3,C1_multinomial_ridge
27,0.0496860316204122,fold3,C1_multinomial_ridge
28,0.04992512159576606,fold3,C1_multinomial_ridge
29,0.04536237708517834,fold3,C1_multinomial_ridge
30,0.05834542060959728,fold3,C1_multinomial_ridge
31,0.06677100370261908,fold3,C1_multinomial_ridge
32,0.06371845029121288,fold3,C1_multinomial_ridge
33,0.04469189387958507,fold3,C1_multinomial_ridge
34_or_higher,0.022141578539939963,fold3,C1_multinomial_ridge
24_or_below,0.03764150965221233,fold3,C2_ordinal_cdf_logistic
25,0.0385488513048777,fold3,C2_ordinal_cdf_logistic
26,0.044602132227177495,fold3,C2_ordinal_cdf_logistic
27,0.049537250675158545,fold3,C2_ordinal_cdf_logistic
28,0.049608182728023885,fold3,C2_ordinal_cdf_logistic
29,0.045145430781161504,fold3,C2_ordinal_cdf_logistic
30,0.05829747561089251,fold3,C2_ordinal_cdf_logistic
31,0.06726859552167956,fold3,C2_ordinal_cdf_logistic
32,0.06452269780073253,fold3,C2_ordinal_cdf_logistic
33,0.04515401332399246,fold3,C2_ordinal_cdf_logistic
34_or_higher,0.024369705402987708,fold3,C2_ordinal_cdf_logistic
24_or_below,0.0368976014830512,fold3,K0_B4_identity
25,0.03830957044714057,fold3,K0_B4_identity
26,0.0453801116556803,fold3,K0_B4_identity
27,0.04808256785401715,fold3,K0_B4_identity
28,0.048378614762219004,fold3,K0_B4_identity
29,0.04525583581063871,fold3,K0_B4_identity
30,0.056458904659626295,fold3,K0_B4_identity
31,0.06616910642699553,fold3,K0_B4_identity
32,0.0623091803475458,fold3,K0_B4_identity
33,0.04445921966379259,fold3,K0_B4_identity
34_or_higher,0.019893131403958146,fold3,K0_B4_identity
24_or_below,0.0369293476866848,fold3,K1_B4_power_calibrated
25,0.03828792460216937,fold3,K1_B4_power_calibrated
26,0.04531384980467012,fold3,K1_B4_power_calibrated
27,0.04813456310329811,fold3,K1_B4_power_calibrated
28,0.048510480192778475,fold3,K1_B4_power_calibrated
29,0.045172840556507964,fold3,K1_B4_power_calibrated
30,0.05654384758171837,fold3,K1_B4_power_calibrated
31,0.06611184652015593,fold3,K1_B4_power_calibrated
32,0.06230776524850221,fold3,K1_B4_power_calibrated
33,0.044383072410186485,fold3,K1_B4_power_calibrated
34_or_higher,0.019921362382487446,fold3,K1_B4_power_calibrated
24_or_below,0.036897601483051205,fold3,K2_B4_monotone_cdf_projected
25,0.03830957044714057,fold3,K2_B4_monotone_cdf_projected
26,0.04538011165568031,fold3,K2_B4_monotone_cdf_projected
27,0.04808256785401715,fold3,K2_B4_monotone_cdf_projected
28,0.048378614762219,fold3,K2_B4_monotone_cdf_projected
29,0.04525583581063871,fold3,K2_B4_monotone_cdf_projected
30,0.056458904659626295,fold3,K2_B4_monotone_cdf_projected
31,0.06616910642699553,fold3,K2_B4_monotone_cdf_projected
32,0.0623091803475458,fold3,K2_B4_monotone_cdf_projected
33,0.04445921966379259,fold3,K2_B4_monotone_cdf_projected
34_or_higher,0.019893131403958146,fold3,K2_B4_monotone_cdf_projected
24_or_below,0.03666720106282324,fold3,S1_conservative_simplex_stack
